geo_id,latitude,longitude
412,41.2347,-77.0546
413,34.0424,-118.167
414,34.8684,-82.4095
415,28.0509,-82.4466
416,37.5437,-121.971
417,36.2503,-93.1086
418,29.5844,-98.5262
419,29.5857,-81.2369
420,31.9821,-81.1485
421,34.2964,-79.8704
422,40.8742,-72.9886
423,30.5452,-85.5478
424,40.3258,-75.8312
425,32.8644,-96.862
426,29.8877,-95.4123
427,38.7583,-90.5412
428,38.5921,-90.2305
429,27.8993,-82.3697
430,36.3006,-82.6939
431,45.4976,-122.614
432,41.7666,-87.6736
433,38.5864,-90.2236
434,42.7799,-82.7529
435,42.0269,-86.3013
436,28.5265,-81.3909
437,61.5553,-149.789
438,38.9946,-84.1748
439,37.0774,-88.644
440,40.6005,-75.4894
441,39.9751,-75.1654
442,41.6545,-70.934
443,36.168,-95.9377
444,42.0283,-96.0879
445,32.9733,-80.2491
446,42.2488,-71.8026
447,44.9777,-93.0958
448,35.2656,-77.5701
449,28.2573,-82.727
450,36.2194,-95.9841
451,41.1072,-81.3541
452,32.4198,-87.0219
453,42.7058,-71.1841
454,41.4899,-73.0638
455,35.3619,-84.2943
456,33.4948,-80.8427
457,28.0527,-82.6996
458,39.3531,-76.5195
459,33.401,-82.0158
460,27.7122,-82.6524
461,40.2709,-76.8892
462,41.1231,-81.2345
463,32.5239,-92.648
464,41.581,-90.5256
465,33.3055,-83.6889
466,32.7422,-97.1372
467,36.1189,-95.8154
468,44.9157,-122.989
469,41.7523,-72.6881
470,41.7348,-87.5465
471,35.4328,-97.5425
472,36.1596,-95.8597
473,41.9101,-83.4269
474,36.0096,-95.7893
475,40.8328,-81.4191
476,30.3624,-81.6707
477,29.4059,-98.4633
478,30.4493,-91.0349
479,42.1184,-86.4371
480,29.4223,-98.537
481,42.1625,-72.5826
482,40.1179,-80.4103
483,35.6584,-88.8543
484,39.1931,-84.4015
485,40.6381,-74.2511
486,41.5111,-81.6024
487,40.802,-124.159
488,32.1351,-98.0211
489,37.3331,-120.54
490,34.3367,-119.091
491,38.1332,-92.7085
492,41.2473,-80.8541
493,36.2537,-79.3129
494,41.7507,-87.6602
495,37.4274,-77.5027
496,39.2924,-76.6372
497,42.1402,-73.7808
498,31.9578,-110.982
499,44.9571,-93.2957
500,38.6351,-75.6109
501,39.1984,-84.4809
502,35.3894,-77.9674
503,40.0108,-75.139
504,36.4947,-86.8922
505,29.3962,-98.3929
506,41.1839,-73.1542
507,44.8283,-92.954
508,37.6056,-75.7653
509,42.1261,-80.0694
510,37.6368,-120.977
511,41.717,-83.6734
512,41.4596,-90.8182
513,45.5482,-122.58
514,41.1395,-73.2888
515,29.9683,-90.0184
516,43.0404,-76.1621
517,38.2421,-85.74
518,34.2345,-116.057
519,33.4821,-88.4257
520,40.7819,-75.9786
521,43.0453,-76.1321
522,30.5234,-91.1808
523,36.1882,-115.091
524,43.1122,-87.9566
525,39.0298,-95.67
526,40.1783,-85.3485
527,35.9634,-95.3891
528,38.6593,-90.2577
529,41.7115,-72.2202
530,30.7619,-88.1052
531,41.1294,-73.5377
532,37.5577,-90.2912
533,44.3552,-69.8493
534,43.7769,-88.4558
535,32.9262,-79.7174
536,32.7478,-96.891
537,41.3004,-74.1445
538,30.0102,-91.8372
539,43.1815,-77.5992
540,41.5491,-87.3449
541,40.4674,-79.9185
542,47.5261,-122.278
543,30.1978,-97.7561
544,27.6952,-97.336
545,32.0367,-81.0634
